167503724588,TYPE_DECL,,controllers/healthScoreController.ts::program,METHOD,<lambda>6,37,controllers/healthScoreController.ts,controllers/healthScoreController.ts::program:<lambda>6,<empty>,ANY,false,169,<lambda>6,,,1
167503724589,TYPE_DECL,,controllers/healthScoreController.ts:<global>,NAMESPACE_BLOCK,:program,0,controllers/healthScoreController.ts,controllers/healthScoreController.ts::program,<empty>,ANY,false,1,:program,,,1
167503724590,TYPE_DECL,,controllers/issueMetricsController.ts::program,METHOD,<lambda>0,35,controllers/issueMetricsController.ts,controllers/issueMetricsController.ts::program:<lambda>0,<empty>,ANY,false,12,<lambda>0,,,1
167503724591,TYPE_DECL,,controllers/issueMetricsController.ts::program,METHOD,<lambda>1,31,controllers/issueMetricsController.ts,controllers/issueMetricsController.ts::program:<lambda>1,<empty>,ANY,false,48,<lambda>1,,,1
167503724592,TYPE_DECL,,controllers/issueMetricsController.ts::program,METHOD,<lambda>2,37,controllers/issueMetricsController.ts,controllers/issueMetricsController.ts::program:<lambda>2,<empty>,ANY,false,85,<lambda>2,,,1
167503724593,TYPE_DECL,,controllers/issueMetricsController.ts::program,METHOD,<lambda>3,38,controllers/issueMetricsController.ts,controllers/issueMetricsController.ts::program:<lambda>3,<empty>,ANY,false,133,<lambda>3,,,1
167503724594,TYPE_DECL,,controllers/issueMetricsController.ts:<global>,NAMESPACE_BLOCK,:program,0,controllers/issueMetricsController.ts,controllers/issueMetricsController.ts::program,<empty>,ANY,false,1,:program,,,1
167503724595,TYPE_DECL,,controllers/milestoneMetricsController.ts::program,METHOD,<lambda>0,39,controllers/milestoneMetricsController.ts,controllers/milestoneMetricsController.ts::program:<lambda>0,<empty>,ANY,false,12,<lambda>0,,,1
167503724596,TYPE_DECL,,controllers/milestoneMetricsController.ts::program,METHOD,<lambda>1,35,controllers/milestoneMetricsController.ts,controllers/milestoneMetricsController.ts::program:<lambda>1,<empty>,ANY,false,46,<lambda>1,,,1
167503724597,TYPE_DECL,,controllers/milestoneMetricsController.ts:<global>,NAMESPACE_BLOCK,:program,0,controllers/milestoneMetricsController.ts,controllers/milestoneMetricsController.ts::program,<empty>,ANY,false,1,:program,,,1
167503724598,TYPE_DECL,,controllers/mrMetricsController.ts::program,METHOD,<lambda>0,32,controllers/mrMetricsController.ts,controllers/mrMetricsController.ts::program:<lambda>0,<empty>,ANY,false,13,<lambda>0,,,1
167503724599,TYPE_DECL,,controllers/mrMetricsController.ts::program,METHOD,<lambda>1,28,controllers/mrMetricsController.ts,controllers/mrMetricsController.ts::program:<lambda>1,<empty>,ANY,false,48,<lambda>1,,,1
167503724600,TYPE_DECL,,controllers/mrMetricsController.ts::program,METHOD,<lambda>2,34,controllers/mrMetricsController.ts,controllers/mrMetricsController.ts::program:<lambda>2,<empty>,ANY,false,86,<lambda>2,,,1
167503724601,TYPE_DECL,,controllers/mrMetricsController.ts::program,METHOD,<lambda>3,35,controllers/mrMetricsController.ts,controllers/mrMetricsController.ts::program:<lambda>3,<empty>,ANY,false,124,<lambda>3,,,1
167503724602,TYPE_DECL,,controllers/mrMetricsController.ts:<global>,NAMESPACE_BLOCK,:program,0,controllers/mrMetricsController.ts,controllers/mrMetricsController.ts::program,<empty>,ANY,false,1,:program,,,1
167503724603,TYPE_DECL,,controllers/projectController.ts::program,METHOD,class ProjectController,0,controllers/projectController.ts,controllers/projectController.ts::program:ProjectController,<empty>,,false,10,ProjectController,,,-1
167503724604,TYPE_DECL,,controllers/projectController.ts::program:ProjectController:<init>,METHOD,<lambda>0,22,controllers/projectController.ts,controllers/projectController.ts::program:ProjectController:<init>:<lambda>0,<empty>,ANY,false,16,<lambda>0,,,1
167503724605,TYPE_DECL,,controllers/projectController.ts::program:ProjectController:<init>,METHOD,<lambda>1,25,controllers/projectController.ts,controllers/projectController.ts::program:ProjectController:<init>:<lambda>1,<empty>,ANY,false,29,<lambda>1,,,1
167503724606,TYPE_DECL,,controllers/projectController.ts::program:ProjectController:<init>,METHOD,<lambda>2,29,controllers/projectController.ts,controllers/projectController.ts::program:ProjectController:<init>:<lambda>2,<empty>,ANY,false,54,<lambda>2,,,1
167503724607,TYPE_DECL,,controllers/projectController.ts::program:ProjectController:<init>,METHOD,<lambda>3,27,controllers/projectController.ts,controllers/projectController.ts::program:ProjectController:<init>:<lambda>3,<empty>,ANY,false,67,<lambda>3,,,1
167503724608,TYPE_DECL,,controllers/projectController.ts::program:ProjectController:<init>,METHOD,<lambda>4,22,controllers/projectController.ts,controllers/projectController.ts::program:ProjectController:<init>:<lambda>4,<empty>,ANY,false,80,<lambda>4,,,1
167503724609,TYPE_DECL,,controllers/projectController.ts::program:ProjectController:<init>,METHOD,<lambda>5,25,controllers/projectController.ts,controllers/projectController.ts::program:ProjectController:<init>:<lambda>5,<empty>,ANY,false,100,<lambda>5,,,1
167503724610,TYPE_DECL,,controllers/projectController.ts::program:ProjectController:<init>,METHOD,<lambda>6,30,controllers/projectController.ts,controllers/projectController.ts::program:ProjectController:<init>:<lambda>6,<empty>,ANY,false,120,<lambda>6,,,1
167503724611,TYPE_DECL,,controllers/projectController.ts::program:ProjectController:<init>,METHOD,<lambda>7,24,controllers/projectController.ts,controllers/projectController.ts::program:ProjectController:<init>:<lambda>7,<empty>,ANY,false,131,<lambda>7,,,1
167503724612,TYPE_DECL,,controllers/projectController.ts::program:ProjectController:<init>,METHOD,<lambda>8,26,controllers/projectController.ts,controllers/projectController.ts::program:ProjectController:<init>:<lambda>8,<empty>,ANY,false,151,<lambda>8,,,1
167503724613,TYPE_DECL,,controllers/projectController.ts::program:ProjectController:<init>:<lambda>9,METHOD,<lambda>10,48,controllers/projectController.ts,controllers/projectController.ts::program:ProjectController:<init>:<lambda>9:<lambda>10,<empty>,ANY,false,172,<lambda>10,,,1
167503724614,TYPE_DECL,,controllers/projectController.ts::program:ProjectController:<init>,METHOD,<lambda>9,26,controllers/projectController.ts,controllers/projectController.ts::program:ProjectController:<init>:<lambda>9,<empty>,ANY,false,167,<lambda>9,,,1
167503724615,TYPE_DECL,,controllers/projectController.ts::program:ProjectController:<init>,METHOD,<lambda>11,29,controllers/projectController.ts,controllers/projectController.ts::program:ProjectController:<init>:<lambda>11,<empty>,ANY,false,187,<lambda>11,,,1
167503724616,TYPE_DECL,,controllers/projectController.ts::program:ProjectController:<init>,METHOD,<lambda>12,29,controllers/projectController.ts,controllers/projectController.ts::program:ProjectController:<init>:<lambda>12,<empty>,ANY,false,206,<lambda>12,,,1
167503724617,TYPE_DECL,,controllers/projectController.ts::program:ProjectController:<init>,METHOD,<lambda>13,36,controllers/projectController.ts,controllers/projectController.ts::program:ProjectController:<init>:<lambda>13,<empty>,ANY,false,219,<lambda>13,,,1
167503724618,TYPE_DECL,,controllers/projectController.ts::program:ProjectController:<init>:<lambda>14,METHOD,<lambda>15,32,controllers/projectController.ts,controllers/projectController.ts::program:ProjectController:<init>:<lambda>14:<lambda>15,<empty>,ANY,false,245,<lambda>15,,,1
167503724619,TYPE_DECL,,controllers/projectController.ts::program:ProjectController:<init>,METHOD,<lambda>14,36,controllers/projectController.ts,controllers/projectController.ts::program:ProjectController:<init>:<lambda>14,<empty>,ANY,false,242,<lambda>14,,,1
167503724620,TYPE_DECL,,controllers/projectController.ts::program:ProjectController:<init>:<lambda>16,METHOD,<lambda>17,27,controllers/projectController.ts,controllers/projectController.ts::program:ProjectController:<init>:<lambda>16:<lambda>17,<empty>,ANY,false,254,<lambda>17,,,1
167503724621,TYPE_DECL,,controllers/projectController.ts::program:ProjectController:<init>,METHOD,<lambda>16,42,controllers/projectController.ts,controllers/projectController.ts::program:ProjectController:<init>:<lambda>16,<empty>,ANY,false,253,<lambda>16,,,1
167503724622,TYPE_DECL,,controllers/projectController.ts::program:ProjectController:<init>:<lambda>18,METHOD,<lambda>19,32,controllers/projectController.ts,controllers/projectController.ts::program:ProjectController:<init>:<lambda>18:<lambda>19,<empty>,ANY,false,262,<lambda>19,,,1
167503724623,TYPE_DECL,,controllers/projectController.ts::program:ProjectController:<init>:<lambda>18,METHOD,<lambda>20,31,controllers/projectController.ts,controllers/projectController.ts::program:ProjectController:<init>:<lambda>18:<lambda>20,<empty>,ANY,false,263,<lambda>20,,,1
167503724624,TYPE_DECL,,controllers/projectController.ts::program:ProjectController:<init>:<lambda>18,METHOD,<lambda>21,28,controllers/projectController.ts,controllers/projectController.ts::program:ProjectController:<init>:<lambda>18:<lambda>21,<empty>,ANY,false,264,<lambda>21,,,1
167503724625,TYPE_DECL,,controllers/projectController.ts::program:ProjectController:<init>:<lambda>18,METHOD,<lambda>22,33,controllers/projectController.ts,controllers/projectController.ts::program:ProjectController:<init>:<lambda>18:<lambda>22,<empty>,ANY,false,265,<lambda>22,,,1
167503724626,TYPE_DECL,,controllers/projectController.ts::program:ProjectController:<init>,METHOD,<lambda>18,41,controllers/projectController.ts,controllers/projectController.ts::program:ProjectController:<init>:<lambda>18,<empty>,ANY,false,260,<lambda>18,,,1
167503724627,TYPE_DECL,,controllers/projectController.ts::program:ProjectController,TYPE_DECL,<init>,0,controllers/projectController.ts,controllers/projectController.ts::program:ProjectController:<init>,<empty>,ANY,false,10,<init>,,,1
167503724628,TYPE_DECL,,controllers/projectController.ts:<global>,NAMESPACE_BLOCK,:program,0,controllers/projectController.ts,controllers/projectController.ts::program,<empty>,ANY,false,1,:program,,,1
167503724629,TYPE_DECL,,controllers/sonarQubeMaintainabilityController.ts::program,METHOD,<lambda>0,45,controllers/sonarQubeMaintainabilityController.ts,controllers/sonarQubeMaintainabilityController.ts::program:<lambda>0,<empty>,ANY,false,13,<lambda>0,,,1
167503724630,TYPE_DECL,,controllers/sonarQubeMaintainabilityController.ts::program,METHOD,<lambda>1,41,controllers/sonarQubeMaintainabilityController.ts,controllers/sonarQubeMaintainabilityController.ts::program:<lambda>1,<empty>,ANY,false,50,<lambda>1,,,1
167503724631,TYPE_DECL,,controllers/sonarQubeMaintainabilityController.ts::program,METHOD,<lambda>2,48,controllers/sonarQubeMaintainabilityController.ts,controllers/sonarQubeMaintainabilityController.ts::program:<lambda>2,<empty>,ANY,false,90,<lambda>2,,,1
167503724632,TYPE_DECL,,controllers/sonarQubeMaintainabilityController.ts:<global>,NAMESPACE_BLOCK,:program,0,controllers/sonarQubeMaintainabilityController.ts,controllers/sonarQubeMaintainabilityController.ts::program,<empty>,ANY,false,1,:program,,,1
167503724633,TYPE_DECL,,controllers/sonarQubeReliabilityController.ts::program,METHOD,<lambda>0,41,controllers/sonarQubeReliabilityController.ts,controllers/sonarQubeReliabilityController.ts::program:<lambda>0,<empty>,ANY,false,12,<lambda>0,,,1
167503724634,TYPE_DECL,,controllers/sonarQubeReliabilityController.ts::program,METHOD,<lambda>1,37,controllers/sonarQubeReliabilityController.ts,controllers/sonarQubeReliabilityController.ts::program:<lambda>1,<empty>,ANY,false,48,<lambda>1,,,1
167503724635,TYPE_DECL,,controllers/sonarQubeReliabilityController.ts::program,METHOD,<lambda>2,44,controllers/sonarQubeReliabilityController.ts,controllers/sonarQubeReliabilityController.ts::program:<lambda>2,<empty>,ANY,false,88,<lambda>2,,,1
167503724636,TYPE_DECL,,controllers/sonarQubeReliabilityController.ts:<global>,NAMESPACE_BLOCK,:program,0,controllers/sonarQubeReliabilityController.ts,controllers/sonarQubeReliabilityController.ts::program,<empty>,ANY,false,1,:program,,,1
167503724637,TYPE_DECL,,controllers/sonarQubeSecurityController.ts::program,METHOD,<lambda>0,38,controllers/sonarQubeSecurityController.ts,controllers/sonarQubeSecurityController.ts::program:<lambda>0,<empty>,ANY,false,12,<lambda>0,,,1
167503724638,TYPE_DECL,,controllers/sonarQubeSecurityController.ts::program,METHOD,<lambda>1,34,controllers/sonarQubeSecurityController.ts,controllers/sonarQubeSecurityController.ts::program:<lambda>1,<empty>,ANY,false,48,<lambda>1,,,1
167503724639,TYPE_DECL,,controllers/sonarQubeSecurityController.ts::program,METHOD,<lambda>2,41,controllers/sonarQubeSecurityController.ts,controllers/sonarQubeSecurityController.ts::program:<lambda>2,<empty>,ANY,false,88,<lambda>2,,,1
167503724640,TYPE_DECL,,controllers/sonarQubeSecurityController.ts:<global>,NAMESPACE_BLOCK,:program,0,controllers/sonarQubeSecurityController.ts,controllers/sonarQubeSecurityController.ts::program,<empty>,ANY,false,1,:program,,,1
167503724641,TYPE_DECL,,db/check-monthly-data.ts::program,METHOD,checkMonthlyData,0,db/check-monthly-data.ts,db/check-monthly-data.ts::program:checkMonthlyData,<empty>,ANY,false,5,checkMonthlyData,,,1
167503724642,TYPE_DECL,,db/check-monthly-data.ts:<global>,NAMESPACE_BLOCK,:program,0,db/check-monthly-data.ts,db/check-monthly-data.ts::program,<empty>,ANY,false,1,:program,,,1
167503724643,TYPE_DECL,,db/clear-and-repopulate-dora.ts::program,METHOD,clearAndRepopulateDoraMetrics,0,db/clear-and-repopulate-dora.ts,db/clear-and-repopulate-dora.ts::program:clearAndRepopulateDoraMetrics,<empty>,ANY,false,7,clearAndRepopulateDoraMetrics,,,1
167503724644,TYPE_DECL,,db/clear-and-repopulate-dora.ts:<global>,NAMESPACE_BLOCK,:program,0,db/clear-and-repopulate-dora.ts,db/clear-and-repopulate-dora.ts::program,<empty>,ANY,false,1,:program,,,1
167503724645,TYPE_DECL,,db/connection.ts::program:<lambda>0,METHOD,<lambda>1,21,db/connection.ts,db/connection.ts::program:<lambda>0:<lambda>1,<empty>,ANY,false,28,<lambda>1,,,1
167503724646,TYPE_DECL,,db/connection.ts::program,METHOD,<lambda>0,23,db/connection.ts,db/connection.ts::program:<lambda>0,<empty>,ANY,false,9,<lambda>0,,,1
167503724647,TYPE_DECL,,db/connection.ts::program,METHOD,<lambda>2,25,db/connection.ts,db/connection.ts::program:<lambda>2,<empty>,ANY,false,41,<lambda>2,,,1
167503724648,TYPE_DECL,,db/connection.ts::program,METHOD,<lambda>3,23,db/connection.ts,db/connection.ts::program:<lambda>3,<empty>,ANY,false,60,<lambda>3,,,1
167503724649,TYPE_DECL,,db/connection.ts:<global>,NAMESPACE_BLOCK,:program,0,db/connection.ts,db/connection.ts::program,<empty>,ANY,false,1,:program,,,1
167503724650,TYPE_DECL,,db/populate-dora-metrics.ts::program,METHOD,populateDoraMetrics,0,db/populate-dora-metrics.ts,db/populate-dora-metrics.ts::program:populateDoraMetrics,<empty>,ANY,false,7,populateDoraMetrics,,,1
167503724651,TYPE_DECL,,db/populate-dora-metrics.ts:<global>,NAMESPACE_BLOCK,:program,0,db/populate-dora-metrics.ts,db/populate-dora-metrics.ts::program,<empty>,ANY,false,1,:program,,,1
167503724652,TYPE_DECL,,db/queries.ts::program,METHOD,<lambda>0,32,db/queries.ts,db/queries.ts::program:<lambda>0,<empty>,ANY,false,11,<lambda>0,,,1
167503724653,TYPE_DECL,db/queries.ts::program:<lambda>1:<anon-class>0,db/queries.ts::program:<lambda>1,METHOD,"{
  id: number;
  name: string;
  full_path?: string;
  group_path?: string;
  members_count?: number;
  members?: any[];
  last_activity_at?: string;
  parent_id?: number;
  visibility?: string;
}",57,db/queries.ts,db/queries.ts::program:<lambda>1:<anon-class>1,<empty>,,false,35,<anon-class>1,,,-1
167503724654,TYPE_DECL,,db/queries.ts::program:<lambda>1,METHOD,"{
  id: number;
  name: string;
  full_path?: string;
  group_path?: string;
  members_count?: number;
  members?: any[];
  last_activity_at?: string;
  parent_id?: number;
  visibility?: string;
}",57,db/queries.ts,db/queries.ts::program:<lambda>1:<anon-class>0,<empty>,,false,35,<anon-class>0,,,1
167503724655,TYPE_DECL,,db/queries.ts::program,METHOD,<lambda>1,37,db/queries.ts,db/queries.ts::program:<lambda>1,<empty>,ANY,false,35,<lambda>1,,,1
167503724656,TYPE_DECL,,db/queries.ts::program,METHOD,<lambda>2,38,db/queries.ts,db/queries.ts::program:<lambda>2,<empty>,ANY,false,92,<lambda>2,,,1
167503724657,TYPE_DECL,,db/queries.ts::program,METHOD,<lambda>3,42,db/queries.ts,db/queries.ts::program:<lambda>3,<empty>,ANY,false,117,<lambda>3,,,1
